,date,region,division,time,timezone,team_1,team_2,id_1,id_2
0,"MONDAY, NOVEMBER 29TH",CHINA,DIVISION II,06:00,CET,CDEC,SPARKING ARROW GAMING,1520578,7407260
1,"MONDAY, NOVEMBER 29TH",CHINA,DIVISION II,09:00,CET,TEAM MAGMA,NEPTUNE GAMING,8126892,8204512
2,"MONDAY, NOVEMBER 29TH",SOUTHEAST ASIA,DIVISION II,12:00,CET,NIGMA GALAXY SEA,SPAWN.496,8572181,8605296
3,"MONDAY, NOVEMBER 29TH",EASTERN EUROPE,DIVISION II,15:00,CET,PROSTI ESLI,B8,8376696,8359896
4,"MONDAY, NOVEMBER 29TH",WESTERN EUROPE,DIVISION II,18:00,CET,BRAME,ENTITY,8112124,8605863
5,"MONDAY, NOVEMBER 29TH",NORTH AMERICA,DIVISION II,21:00,CET,5MANMIDAS,FELT,8230115,8261882
6,"TUESDAY, NOVEMBER 30TH",SOUTH AMERICA,DIVISION II,00:00,CET,UNKNOWN TEAM,INFINITY,7121518,8118197
7,"TUESDAY, NOVEMBER 30TH",CHINA,DIVISION II,06:00,CET,NEPTUNE GAMING,YBB GAMING,8204512,8574561
8,"TUESDAY, NOVEMBER 30TH",CHINA,DIVISION II,09:00,CET,SHENZHEN,SPARKING ARROW GAMING,7356881,7407260
9,"TUESDAY, NOVEMBER 30TH",WESTERN EUROPE,DIVISION II,12:00,CET,NO BOUNTY HUNTER,TEAM BALD REBORN,8261397,8344760
10,"TUESDAY, NOVEMBER 30TH",CHINA,DIVISION II,12:00,CET,CDEC,TEAM MAGMA,1520578,8126892
11,"TUESDAY, NOVEMBER 30TH",WESTERN EUROPE,DIVISION I,15:00,CET,ALLIANCE,TUNDRA ESPORTS,111474,8291895
12,"TUESDAY, NOVEMBER 30TH",WESTERN EUROPE,DIVISION I,18:00,CET,TEAM SECRET,OG,1838315,2586976
13,"TUESDAY, NOVEMBER 30TH",NORTH AMERICA,DIVISION I,21:00,CET,QUINCY CREW,SIMPLY TOOBASED,7390454,8272699
14,"WEDNESDAY, DECEMBER 1ST",NORTH AMERICA,DIVISION II,00:00,CET,TEAM MAGNUS,ELECTRONIC BOYS,8581426,8262639
15,"WEDNESDAY, DECEMBER 1ST",SOUTHEAST ASIA,DIVISION II,06:00,CET,RAGDOLL,ARMY GENIUSES,8565252,8261554
16,"WEDNESDAY, DECEMBER 1ST",SOUTHEAST ASIA,DIVISION I,09:00,CET,TNC PREDATOR,T1,2108395,8214850
17,"WEDNESDAY, DECEMBER 1ST",SOUTHEAST ASIA,DIVISION I,12:00,CET,EXECRATION,MOTIVATE.TRUST GAMING,8254145,8261197
18,"WEDNESDAY, DECEMBER 1ST",WESTERN EUROPE,DIVISION I,15:00,CET,TEAM LIQUID,COOLGUYS,2163,8598999
19,"WEDNESDAY, DECEMBER 1ST",WESTERN EUROPE,DIVISION II,18:00,CET,CHICKEN FIGHTERS,GHOST FROGS,8390848,8343488
20,"WEDNESDAY, DECEMBER 1ST",NORTH AMERICA,DIVISION I,21:00,CET,UNDYING,D2 HUSTLERS,8260983,8376426
21,"WEDNESDAY, DECEMBER 1ST",WESTERN EUROPE,DIVISION II,21:00,CET,CHILLAX,INTO THE BREACH,8597391,8070280
22,"THURSDAY, DECEMBER 2ND",NORTH AMERICA,DIVISION I,00:00,CET,4 ZOOMERS,BLACK N YELLOW,7819028,8260932
23,"THURSDAY, DECEMBER 2ND",SOUTHEAST ASIA,DIVISION II,06:00,CET,LILGUN,INTERACTIVE PHILIPPINES,8169775,7917893
24,"THURSDAY, DECEMBER 2ND",SOUTHEAST ASIA,DIVISION II,09:00,CET,POLARIS ESPORTS,TALON,8525778,8597976
25,"THURSDAY, DECEMBER 2ND",EASTERN EUROPE,DIVISION II,12:00,CET,NEMIGA GAMING,TBD,5014799,
26,"THURSDAY, DECEMBER 2ND",SOUTHEAST ASIA,DIVISION I,12:00,CET,OB.NEON,BOOM ESPORTS,8360138,7732977
27,"THURSDAY, DECEMBER 2ND",EASTERN EUROPE,DIVISION I,15:00,CET,TEAM EMPIRE,AS MONACO GAMBIT,46,8310936
28,"THURSDAY, DECEMBER 2ND",SOUTH AMERICA,DIVISION II,18:00,CET,INTERITUS,INVERSE,8442622,6767209
